"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\bnrdevelopment\Desktop\asd\src\App.css", "PostCSS", 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\bnrdevelopment\Desktop\asd\src\App.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 4, 5, 24
"c:\Users\bnrdevelopment\Desktop\asd\src\assets\fakeUvMapping.js", "JavaScript", 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\bnrdevelopment\Desktop\asd\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\assets\svgs.jsx", "JavaScript JSX", 0, 414, 0, 0, 0, 22, 12, 448
"c:\Users\bnrdevelopment\Desktop\asd\src\components\assetDrawer\AssetDrawer.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 4, 5, 39
"c:\Users\bnrdevelopment\Desktop\asd\src\components\assetDrawer\assetDrawer.css", "PostCSS", 0, 0, 46, 0, 0, 1, 7, 54
"c:\Users\bnrdevelopment\Desktop\asd\src\components\buttons\Buttons.jsx", "JavaScript JSX", 0, 161, 0, 0, 0, 25, 25, 211
"c:\Users\bnrdevelopment\Desktop\asd\src\components\buttons\buttons.css", "PostCSS", 0, 0, 144, 0, 0, 1, 23, 168
"c:\Users\bnrdevelopment\Desktop\asd\src\components\canvas\CanvasForModel.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 7, 5, 48
"c:\Users\bnrdevelopment\Desktop\asd\src\components\canvas\canvasForModel.css", "PostCSS", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\bnrdevelopment\Desktop\asd\src\components\colorPicker\ColorPicker.jsx", "JavaScript JSX", 0, 220, 0, 0, 0, 12, 19, 251
"c:\Users\bnrdevelopment\Desktop\asd\src\components\colorPicker\colorPicker.css", "PostCSS", 0, 0, 167, 0, 0, 7, 28, 202
"c:\Users\bnrdevelopment\Desktop\asd\src\components\fontChange\FontChange.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\bnrdevelopment\Desktop\asd\src\components\fontChange\fontChange.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\components\footer\Footer.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 1, 5, 60
"c:\Users\bnrdevelopment\Desktop\asd\src\components\footer\footer.css", "PostCSS", 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\bnrdevelopment\Desktop\asd\src\components\header\Header.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\bnrdevelopment\Desktop\asd\src\components\header\header.css", "PostCSS", 0, 0, 37, 0, 0, 0, 7, 44
"c:\Users\bnrdevelopment\Desktop\asd\src\components\itemSettings\ItemSettings.jsx", "JavaScript JSX", 0, 314, 0, 0, 0, 19, 34, 367
"c:\Users\bnrdevelopment\Desktop\asd\src\components\itemSettings\itemSettings.css", "PostCSS", 0, 0, 139, 0, 0, 7, 19, 165
"c:\Users\bnrdevelopment\Desktop\asd\src\components\leftBarPopUp\LeftBarPopUp.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 2, 8, 66
"c:\Users\bnrdevelopment\Desktop\asd\src\components\leftBarPopUp\leftBarPopUp.css", "PostCSS", 0, 0, 97, 0, 0, 16, 31, 144
"c:\Users\bnrdevelopment\Desktop\asd\src\components\leftBar\LeftBar.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 7, 131
"c:\Users\bnrdevelopment\Desktop\asd\src\components\leftBar\leftBar.css", "PostCSS", 0, 0, 51, 0, 0, 0, 7, 58
"c:\Users\bnrdevelopment\Desktop\asd\src\components\loadingOverlay\LoadingOverlay.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\bnrdevelopment\Desktop\asd\src\components\loadingOverlay\loadingOverlay.css", "PostCSS", 0, 0, 56, 0, 0, 0, 8, 64
"c:\Users\bnrdevelopment\Desktop\asd\src\components\popup\infoPopup\InfoPopup.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\bnrdevelopment\Desktop\asd\src\components\popup\infoPopup\infoPopup.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\components\popup\shareDesignPopup\ShareDesignPopUp.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\bnrdevelopment\Desktop\asd\src\components\popup\shareDesignPopup\shareDesignPopUp.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\components\popup\tutorialPopUp\TutorialPopUp.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 4, 10
